base_path,title
/guidance/immigration-rules/immigration-rules-index,Immigration Rules: Index
/guidance/immigration-rules/immigration-rules-introduction,Immigration Rules: introduction
/guidance/immigration-rules/immigration-rules-part-1-leave-to-enter-or-stay-in-the-uk,Immigration Rules part 1: leave to enter or stay in the UK
/guidance/immigration-rules/immigration-rules-part-2-transitional-provisions,Immigration Rules part 2: transitional provisions 
/guidance/immigration-rules/immigration-rules-part-3-students,Immigration Rules part 3: students
/guidance/immigration-rules/immigration-rules-part-4-work-experience,Immigration Rules part 4: work experience
/guidance/immigration-rules/immigration-rules-part-5-working-in-the-uk,Immigration Rules part 5: working in the UK
/guidance/immigration-rules/immigration-rules-part-6-self-employment-and-business-people,Immigration Rules part 6: self-employment and business people
/guidance/immigration-rules/immigration-rules-part-6a-the-points-based-system,Immigration Rules part 6A: the points-based system
/guidance/immigration-rules/immigration-rules-part-7-other-categories,Immigration Rules part 7: other categories
/guidance/immigration-rules/immigration-rules-part-8-family-members,Immigration Rules part 8: family members
/guidance/immigration-rules/immigration-rules-part-suitability,Immigration Rules: Part Suitability
/guidance/immigration-rules/immigration-rules-part-11-asylum,Immigration Rules part 11: asylum
/guidance/immigration-rules/immigration-rules-part-11a-temporary-protection,Immigration Rules part 11A: temporary protection
/guidance/immigration-rules/immigration-rules-part-11b,Immigration Rules part 11B
/guidance/immigration-rules/immigration-rules-part-12-procedure-and-rights-of-appeal,Immigration Rules part 12: Procedure and rights of appeal
/guidance/immigration-rules/immigration-rules-part-13-deportation,Immigration Rules part 13: deportation
/guidance/immigration-rules/immigration-rules-part-14-stateless-persons,Immigration Rules part 14: stateless persons
/guidance/immigration-rules/immigration-rules-appendix-a-attributes,Immigration Rules Appendix A: attributes
/guidance/immigration-rules/immigration-rules-appendix-administrative-review,Immigration Rules Appendix Administrative Review
/guidance/immigration-rules/immigration-rules-appendix-ar-eu,Immigration Rules Appendix AR (EU)
/guidance/immigration-rules/immigration-rules-appendix-hm-armed-forces,Immigration Rules Appendix HM Armed Forces
/guidance/immigration-rules/immigration-rules-appendix-international-armed-forces-and-international-civilian-employees,Immigration Rules Appendix International Armed Forces and International Civilian Employees 
/guidance/immigration-rules/immigration-rules-appendix-e-maintenance-funds-for-the-family-of-relevant-points-based-system-migrants,Immigration Rules Appendix E
/guidance/immigration-rules/immigration-rules-appendix-ecaa-extension-of-stay,Immigration Rules Appendix ECAA: Extension of Stay
/guidance/immigration-rules/-immigration-rules-appendix-ecaa-settlement-ecaa-nationals-and-settlement, Immigration Rules Appendix ECAA Settlement: ECAA nationals and settlement
/guidance/immigration-rules/immigration-rules-appendix-eu,Immigration Rules Appendix EU
/guidance/immigration-rules/immigration-rules-appendix-eu-family-permit,Immigration Rules Appendix EU (Family Permit)
/guidance/immigration-rules/immigration-rules-appendix-fm-family-members,Immigration Rules Appendix FM: family members
/guidance/immigration-rules/immigration-rules-appendix-fm-se-family-members-specified-evidence,Immigration Rules Appendix FM-SE: family members specified evidence
/guidance/immigration-rules/immigration-rules-appendix-koll,Immigration Rules Appendix KoLL
/guidance/immigration-rules/immigration-rules-appendix-o-approved-english-language-tests,Immigration rules Appendix O: approved English language tests
/guidance/immigration-rules/immigration-rules-appendix-sn-service-of-notices,Immigration Rules Appendix SN: Service of notices
/guidance/immigration-rules/immigration-rules-appendix-settlement-protection,Immigration Rules Appendix Settlement Protection 
/guidance/immigration-rules/immigration-rules-appendix-v-visitor,Immigration Rules Appendix V: Visitor
/guidance/immigration-rules/immigration-rules-appendix-visitor-permitted-activities,Immigration Rules Appendix Visitor: Permitted Activities 
/guidance/immigration-rules/immigration-rules-appendix-visitor-visa-national-list,Immigration Rules Appendix Visitor: Visa national list
/guidance/immigration-rules/immigration-rules-appendix-visitor-permit-free-festival-list,Immigration Rules Appendix Visitor: Permit Free Festival List
/guidance/immigration-rules/immigration-rules-appendix-vip-delegate-visa,Immigration Rules Appendix VIP Delegate Visa
/guidance/immigration-rules/immigration-rules-appendix-electronic-travel-authorisation,Immigration Rules Appendix Electronic Travel Authorisation 
/guidance/immigration-rules/immigration-rules-appendix-eta-national-list,Immigration Rules Appendix ETA National List
/guidance/immigration-rules/immigration-rules-appendix-s2-healthcare-visitor,Immigration Rules Appendix S2 Healthcare Visitor
/guidance/immigration-rules/immigration-rules-appendix-student,Immigration Rules: Appendix Student
/guidance/immigration-rules/immigration-rules-appendix-short-term-student-english-language,Immigration Rules Appendix Short-term Student (English language)
/guidance/immigration-rules/immigration-rules-appendix-child-student,Immigration Rules Appendix Child Student
/guidance/immigration-rules/immigration-rules-appendix-parent-of-a-child-student,Immigration Rules Appendix Parent of a Child Student
/guidance/immigration-rules/immigration-rules-appendix-graduate,Immigration Rules Appendix Graduate 
/guidance/immigration-rules/immigration-rules-appendix-skilled-worker,Immigration Rules Appendix Skilled Worker
/guidance/immigration-rules/immigration-rules-appendix-skilled-occupations,Immigration Rules Appendix Skilled Occupations
/guidance/immigration-rules/immigration-rules-appendix-immigration-salary-list,Immigration Rules Appendix Immigration Salary List
/guidance/immigration-rules/immigration-rules-appendix-global-business-mobility-routes,Immigration Rules Appendix Global Business Mobility routes 
/guidance/immigration-rules/immigration-rules-appendix-t2-minister-of-religion,Immigration Rules Appendix T2 Minister of Religion
/guidance/immigration-rules/immigration-rules-appendix-representative-of-an-overseas-business,Immigration Rules Appendix Representative of an Overseas Business 
/guidance/immigration-rules/immigration-rules-appendix-uk-ancestry,Immigration Rules Appendix UK Ancestry
/guidance/immigration-rules/immigration-rules-appendix-global-talent,Immigration Rules Appendix Global Talent
/guidance/immigration-rules/immigration-rules-appendix-global-talent-prestigious-prizes,Immigration Rules Appendix Global Talent: Prestigious Prizes 
/guidance/immigration-rules/immigration-rules-appendix-high-potential-individual,Immigration Rules Appendix High Potential Individual
/guidance/immigration-rules/immigration-rules-appendix-scale-up,Immigration Rules Appendix Scale-up
/guidance/immigration-rules/immigration-rules-appendix-start-up,Immigration Rules Appendix Start-up
